set_id,design_id,element_id,count
31197,98138,6284070,655
31197,98138,6284587,598
31197,98138,6284596,141
31197,98138,6322821,605
31197,98138,6322816,47
31197,98138,6322819,603
31197,98138,6284577,604
31198,98138,6284070,710
31198,98138,6322823,58
31198,98138,6322822,66
31198,98138,6284584,123
31198,98138,6284596,152
31198,98138,6322813,560
31198,98138,6322840,87
31198,98138,6322841,144
31198,98138,6284071,53
31198,98138,6284589,30
31198,98138,6284582,76
31198,98138,6284586,255
31198,98138,6322842,53
31198,98138,6284573,288
31198,98138,6284572,157
31202,98138,6284070,692
31202,98138,6284584,411
31202,98138,6284596,82
31202,98138,6322813,79
31202,98138,6284585,99
31202,98138,6284071,61
31202,98138,6284574,231
31202,98138,6284573,34
31202,98138,6284572,881
31203,98138,6353793,623
31203,98138,6322822,619
31203,98138,6311436,617
31203,98138,6284584,410
31203,98138,6311437,1934
31203,98138,6284583,1110
31203,98138,6322819,1660
31203,98138,6284582,626
31203,98138,6284573,750
31204,98138,6284070,620
31204,98138,6284584,163
31204,98138,6284596,54
31204,98138,6322813,224
31204,98138,6322840,191
31204,98138,6284585,349
31204,98138,6284071,28
31204,98138,6315196,381
31204,98138,6284602,245
31204,98138,6284589,190
31204,98138,6343472,272
31204,98138,6284574,83
31204,98138,6284586,244
31204,98138,6322842,182
31204,98138,6284573,109
31204,98138,6284572,71
21226,98138,6284070,269
21226,98138,6353793,156
21226,98138,6322822,170
21226,98138,6343806,122
21226,98138,6284587,60
21226,98138,6322824,130
21226,98138,6284584,689
21226,98138,6398079,336
21226,98138,6284583,176
21226,98138,6284589,300
21226,98138,6284582,141
21226,98138,6284574,198
21226,98138,6284586,321
21226,98138,6284573,259
21226,98138,6284572,500
21226,98138,6284577,315
